NO,DATE,TEMP,HUM,PM 1.0,PM 2.5,PM 10,CO2,HCHO,CO,NO2,RN,VOCs,O3,SO2,H2S,O2,NH3,AB,BattV,Heater,Blackout
103,2023-07-20_16:15:55,24.1,55.5,34.6,36.3,36.3,1488,0,0,0,0,324.5,0,0,0,434,0,0,0,0,0
104,2023-07-20_16:16:55,24.1,56,33.2,34.8,34.8,1482,0,0,0,0,342.3,0,0,0,438,0,0,0,0,0
105,2023-07-20_16:17:55,24.1,56.2,33.7,35.4,35.4,1474,0,0,0,0,333.4,0,0,0,440,0,0,0,0,0
106,2023-07-20_16:18:55,24.1,56.8,32.7,34.3,34.3,1455,0,0,0,0,333.4,0,0,0,443,0,0,0,0,0
107,2023-07-20_16:19:56,24.1,57.6,31.8,33.4,33.4,1450,0,0,0,0,342.3,0,0,0,449,0,0,0,0,0
108,2023-07-20_16:20:56,24.1,58.5,31.3,32.9,32.9,1436,0,0,0,0,351.2,0,0,0,454,0,0,0,0,0
109,2023-07-20_16:21:56,24.1,58.7,31.5,33,33,1425,0,0,0,0,369.2,0,0,0,469,0,0,0,0,0
110,2023-07-20_16:22:56,24.1,58.3,32.5,34.1,34.1,1423,0,0,0,0,360.1,0,0,0,461,0,0,0,0,0
111,2023-07-20_16:23:56,24.2,56.6,32.4,34,34,1420,0,0,0,0,342.2,0,0,0,485,0,0,0,0,0
112,2023-07-20_16:24:57,24.3,54.7,31.9,33.4,33.4,1412,0,0,0,0,288.9,0,0,0,468,0,0,0,0,0
113,2023-07-20_16:25:57,24.3,53.3,32.8,34.4,34.4,1404,0,0,0,0,262.6,0,0,0,473,0,0,0,0,0
114,2023-07-20_16:26:57,24.3,52.7,32.3,33.9,33.9,1396,0,0,0,0,236.4,0,0,0,476,0,0,0,0,0
115,2023-07-20_16:27:57,24.3,52.5,33.3,34.9,34.9,1386,0,0,0,0,227.7,0,0,0,479,0,0,0,0,0
116,2023-07-20_16:28:57,24.3,53.6,31.4,32.9,32.9,1378,0,0,0,0,219.1,0,0,0,480,0,0,0,0,0
117,2023-07-20_16:29:58,24.2,54.2,32.4,34,34,1378,0,0,0,0,236.5,0,0,0,484,0,0,0,0,0
118,2023-07-20_16:30:58,24.3,54.8,31.4,32.9,32.9,1369,0,0,0,0,253.9,0,0,0,499,0,0,0,0,0
119,2023-07-20_16:31:58,24.2,55.4,33.9,35.5,35.5,1364,0,0,0,0,333.2,0,0,0,498,0,0,0,0,0
120,2023-07-20_16:32:58,24.2,56.1,32.8,34.4,34.4,1349,0,0,0,0,487.4,0,0,0,495,0,0,0,0,0
121,2023-07-20_16:33:58,24.2,56.8,30.7,32.2,32.2,1345,0,0,0,0,628.5,0,0,0,497,0,0,0,0,0
122,2023-07-20_16:34:59,24.2,57.5,32.5,34.1,34.1,1328,0,0,0,0,628.5,0,0,0,503,0,0,0,0,0
123,2023-07-20_16:35:59,24.2,58,30.3,31.8,31.8,1327,0,0,0,0,814.4,0,0,0,503,0,0,0,0,0
124,2023-07-20_16:36:59,24.2,58.2,30.2,31.6,31.6,1325,0,0,0,0,844.4,0,0,0,506,0,0,0,0,0
125,2023-07-20_16:37:59,24.3,57,30.7,32.2,32.2,1318,0,0,0,0,784.2,0,0,0,520,0,0,0,0,0
126,2023-07-20_16:38:59,24.4,55.5,31.1,32.6,32.6,1309,0,0,0,0,647.3,0,0,0,514,0,0,0,0,0
127,2023-07-20_16:40:00,24.4,54.1,33,34.6,34.6,1297,0,0,0,0,590,0,0,0,528,0,0,0,0,0
128,2023-07-20_16:41:00,24.4,52.9,31,32.5,32.5,1293,0,0,0,0,404.9,0,0,0,524,0,0,0,0,0
129,2023-07-20_16:42:00,24.4,52.8,31.4,33,33,1283,0,0,0,0,342,0,0,0,527,0,0,0,0,0
130,2023-07-20_16:43:00,24.4,53.6,31,32.6,32.8,1284,0,0,0,0,342,0,0,0,528,0,0,0,0,0
131,2023-07-20_16:44:00,24.3,54.2,31.4,32.9,32.9,1279,0,0,0,0,289,0,0,0,531,0,0,0,0,0
132,2023-07-20_16:45:01,24.2,55,29.8,31.3,31.3,1272,0,0,0,0,342.2,0,0,0,534,0,0,0,0,0
133,2023-07-20_16:46:01,24.1,55.7,31.6,33.2,33.2,1259,0,0,0,0,441.6,0,0,0,540,0,0,0,0,0
134,2023-07-20_16:47:01,24.2,56.3,32.5,34.1,34.1,1253,0,0,0,0,441.5,0,0,0,550,0,0,0,0,0
135,2023-07-20_16:48:01,24.3,56.6,31.1,32.6,32.6,1248,0,0,0,0,599.8,0,0,0,545,0,0,0,0,0
136,2023-07-20_16:49:01,24.3,57,31.6,33.2,33.2,1248,0,0,0,0,715.3,0,0,0,548,0,0,0,0,0
137,2023-07-20_16:50:02,24.3,57.7,31.2,32.7,32.7,1242,0,0,0,0,784.3,0,0,0,551,0,0,0,0,0
138,2023-07-20_16:51:02,24.3,57.7,30.8,32.3,32.3,1228,0,0,0,0,935.9,0,0,0,554,0,0,0,0,0
139,2023-07-20_16:52:02,24.4,57.2,30.9,32.4,32.4,1225,0,0,0,0,834,0,0,0,559,0,0,0,0,0
140,2023-07-20_16:53:02,24.4,55.4,31.7,33.3,33.3,1220,0,0,0,0,764.2,0,0,0,562,0,0,0,0,0
141,2023-07-20_16:54:02,24.4,54.1,30.3,31.8,31.8,1210,0,0,0,0,715,0,0,0,566,0,0,0,0,0
142,2023-07-20_16:55:03,24.4,52.8,31.6,33.2,33.2,1206,0,0,0,0,561.6,0,0,0,566,0,0,0,0,0
143,2023-07-20_16:56:03,24.4,52.5,30.2,31.7,31.7,1200,0,0,0,0,404.9,0,0,0,584,0,0,0,0,0
144,2023-07-20_16:57:03,24.3,53.1,31.9,33.5,33.5,1190,0,0,0,0,441.3,0,0,0,569,0,0,0,0,0
145,2023-07-20_16:58:03,24.3,53.7,32.9,34.5,34.5,1184,0,0,0,0,468.9,0,0,0,577,0,0,0,0,0
146,2023-07-20_16:59:03,24.1,54.4,30.2,31.7,31.7,1181,0,0,0,0,378.1,0,0,0,576,0,0,0,0,0
147,2023-07-20_17:00:04,24.1,55.4,31,32.5,32.5,1171,0,0,0,0,280.4,0,0,0,580,0,0,0,0,0
148,2023-07-20_17:01:04,24.1,55.8,32,33.6,33.6,1167,0,0,0,0,378.2,0,0,0,582,0,0,0,0,0
149,2023-07-20_17:02:04,24.2,56.2,32.9,34.5,34.5,1161,0,0,0,0,571.6,0,0,0,591,0,0,0,0,0
150,2023-07-20_17:03:04,24.1,56.8,30.6,32.1,32.1,1155,0,0,0,0,804.5,0,0,0,600,0,0,0,0,0
151,2023-07-20_17:04:04,24.1,57.4,30.6,32.1,32.1,1155,0,0,0,0,784.6,0,0,0,593,0,0,0,0,0
152,2023-07-20_17:05:05,24.1,57.9,31.1,32.6,32.6,1150,0,0,0,0,754.9,0,0,0,595,0,0,0,0,0
153,2023-07-20_17:06:05,24.2,58.2,31,32.5,32.5,1150,0,0,0,0,915.8,0,0,0,597,0,0,0,0,0
154,2023-07-20_17:07:05,24.2,57.9,30.8,32.3,32.3,1143,0,0,0,0,1051.3,0,0,0,600,0,0,0,0,0
155,2023-07-20_17:08:05,24.2,57,30.9,32.4,32.4,1135,0,0,0,0,864.6,0,0,0,603,0,0,0,0,0
156,2023-07-20_17:09:05,24.3,55.5,31.7,33.3,33.3,1132,0,0,0,0,884.7,0,0,0,607,0,0,0,0,0
157,2023-07-20_17:10:06,24.3,54,30.7,32.2,32.2,1125,0,0,0,0,814,0,0,0,614,0,0,0,0,0
158,2023-07-20_17:11:06,24.3,53.3,32.1,33.7,33.7,1120,0,0,0,0,734.8,0,0,0,614,0,0,0,0,0
159,2023-07-20_17:12:06,24.3,52.7,29.9,31.4,31.4,1118,0,0,0,0,590.2,0,0,0,620,0,0,0,0,0
160,2023-07-20_17:13:06,24.2,53.6,30.6,32.1,32.1,1116,0,0,0,0,487.4,0,0,0,615,0,0,0,0,0
161,2023-07-20_17:14:07,24.2,54.2,31.4,33,33,1107,0,0,0,0,524.7,0,0,0,620,0,0,0,0,0
162,2023-07-20_17:15:07,24.2,54.7,30.5,32,32,1108,0,0,0,0,543.3,0,0,0,623,0,0,0,0,0
163,2023-07-20_17:16:07,24.1,55.5,30,31.5,31.5,1103,0,0,0,0,590.6,0,0,0,625,0,0,0,0,0
164,2023-07-20_17:17:07,24.1,56,30.8,32.3,32.3,1089,0,0,0,0,496.9,0,0,0,625,0,0,0,0,0
165,2023-07-20_17:18:07,24.1,56.5,30.3,31.8,31.8,1084,0,0,0,0,686.5,0,0,0,630,0,0,0,0,0
166,2023-07-20_17:19:08,24.1,56.8,30.5,31.9,31.9,1081,0,0,0,0,864.9,0,0,0,643,0,0,0,0,0
167,2023-07-20_17:20:08,24.2,57.1,32.2,33.8,33.8,1078,0,0,0,0,1104.5,0,0,0,637,0,0,0,0,0
168,2023-07-20_17:21:08,24.3,57.4,30.2,31.7,31.7,1077,0,0,0,0,1169.2,0,0,0,636,0,0,0,0,0
169,2023-07-20_17:22:08,24.3,57.6,29.5,31,31,1076,0,0,0,0,1347.2,0,0,0,642,0,0,0,0,0
170,2023-07-20_17:23:08,24.3,57.3,30.4,31.9,31.9,1073,0,0,0,0,1393,0,0,0,647,0,0,0,0,0
171,2023-07-20_17:24:09,24.4,56.1,29.8,31.3,31.3,1073,0,0,0,0,1114.4,0,0,0,647,0,0,0,0,0
172,2023-07-20_17:25:09,24.4,54.5,29.9,31.3,31.3,1070,0,0,0,0,1050.3,0,0,0,648,0,0,0,0,0
173,2023-07-20_17:26:09,24.5,52.8,30.1,31.6,31.6,1070,0,0,0,0,724.7,0,0,0,653,0,0,0,0,0
174,2023-07-20_17:27:09,24.5,52.1,29.4,30.9,30.9,1060,0,0,0,0,571,0,0,0,657,0,0,0,0,0
175,2023-07-20_17:28:09,24.4,52.1,30.9,32.4,32.4,1058,0,0,0,0,561.7,0,0,0,663,0,0,0,0,0
176,2023-07-20_17:29:10,24.3,52.8,30,31.4,31.4,1054,0,0,0,0,561.9,0,0,0,659,0,0,0,0,0
177,2023-07-20_17:30:10,24.2,53.5,28.9,30.3,30.3,1047,0,0,0,0,628.4,0,0,0,662,0,0,0,0,0
178,2023-07-20_17:31:10,24.2,54.3,29.8,31.3,31.3,1046,0,0,0,0,515.4,0,0,0,662,0,0,0,0,0
179,2023-07-20_17:32:10,24.1,54.9,29.9,31.4,31.4,1040,0,0,0,0,590.6,0,0,0,668,0,0,0,0,0
180,2023-07-20_17:33:10,24.1,55.5,30.4,31.8,31.8,1037,0,0,0,0,638.2,0,0,0,668,0,0,0,0,0
181,2023-07-20_17:34:11,24.1,56,30.3,31.8,31.8,1036,0,0,0,0,824.6,0,0,0,672,0,0,0,0,0
182,2023-07-20_17:35:11,24.1,56.5,29.4,30.9,30.9,1030,0,0,0,0,1009.3,0,0,0,682,0,0,0,0,0
183,2023-07-20_17:36:11,24.1,57.1,30.2,31.6,31.6,1022,0,0,0,0,1009.4,0,0,0,674,0,0,0,0,0
184,2023-07-20_17:37:11,24.1,57.3,30.2,31.7,31.7,1021,0,0,0,0,1202.6,0,0,0,680,0,0,0,0,0
185,2023-07-20_17:38:11,24.2,57.6,29,30.4,30.4,1018,0,0,0,0,1463.4,0,0,0,684,0,0,0,0,0
186,2023-07-20_17:39:12,24.2,57.8,28.9,30.3,30.3,1008,0,0,0,0,1618.3,0,0,0,683,0,0,0,0,0
187,2023-07-20_17:40:12,24.3,58.1,29.6,31,31,1001,0,0,0,0,1779.4,0,0,0,686,0,0,0,0,0
188,2023-07-20_17:41:12,24.3,57.5,29.9,31.4,31.4,1004,0,0,0,0,1753.9,0,0,0,691,0,0,0,0,0
189,2023-07-20_17:42:12,24.4,55.4,29.1,30.5,30.5,997,0,0,0,0,1404.4,0,0,0,695,0,0,0,0,0
190,2023-07-20_17:43:12,24.4,54.7,30,31.5,31.5,993,0,0,0,0,1071.8,0,0,0,695,0,0,0,0,0
191,2023-07-20_17:44:13,24.4,53.3,30.2,31.7,31.7,997,0,0,0,0,1018.8,0,0,0,709,0,0,0,0,0
192,2023-07-20_17:45:13,24.4,52.8,30.5,32,32,996,0,0,0,0,987.5,0,0,0,696,0,0,0,0,0
193,2023-07-20_17:46:13,24.4,52.9,28.9,30.3,30.3,989,0,0,0,0,1008.4,0,0,0,705,0,0,0,0,0
194,2023-07-20_17:47:13,24.3,53.3,30.5,32,32,985,0,0,0,0,1040.2,0,0,0,700,0,0,0,0,0
195,2023-07-20_17:48:13,24.2,53.9,28.9,30.3,30.3,987,0,0,0,0,1213.2,0,0,0,706,0,0,0,0,0
196,2023-07-20_17:49:14,24.2,54.4,29.8,31.2,31.2,984,0,0,0,0,1246.4,0,0,0,709,0,0,0,0,0
197,2023-07-20_17:50:14,24.3,54.8,30,31.5,31.5,981,0,0,0,0,1358.9,0,0,0,708,0,0,0,0,0
198,2023-07-20_17:51:14,24.2,55.4,28.9,30.3,30.3,980,0,0,0,0,1534.1,0,0,0,722,0,0,0,0,0
199,2023-07-20_17:52:14,24.2,55.9,29.3,30.7,30.7,976,0,0,0,0,1347.6,0,0,0,718,0,0,0,0,0
200,2023-07-20_17:53:14,24.2,56.4,30.3,31.8,31.8,969,0,0,0,0,1325.1,0,0,0,718,0,0,0,0,0
201,2023-07-20_17:54:15,24.2,56.8,29.3,30.7,30.7,965,0,0,0,0,1463.3,0,0,0,726,0,0,0,0,0
202,2023-07-20_17:55:15,24.2,57.2,30.5,32,32,962,0,0,0,0,1642.9,0,0,0,728,0,0,0,0,0
203,2023-07-20_17:56:15,24.3,57.5,30.2,31.6,31.6,960,0,0,0,0,1779.5,0,0,0,720,0,0,0,0,0
204,2023-07-20_17:57:15,24.3,57.7,31.1,32.6,32.6,963,0,0,0,0,1667,0,0,0,730,0,0,0,0,0
205,2023-07-20_17:58:15,24.3,57.9,30.1,31.5,31.5,955,0,0,0,0,2040.1,0,0,0,734,0,0,0,0,0
206,2023-07-20_17:59:16,24.4,58.1,28.9,30.3,30.3,957,0,0,0,0,2013.1,0,0,0,731,0,0,0,0,0
207,2023-07-20_18:00:16,24.4,57.7,29.6,31.1,31.1,951,0,0,0,0,2039.8,0,0,0,743,0,0,0,0,0
208,2023-07-20_18:01:16,24.4,56.6,29.9,31.4,31.4,954,0,0,0,0,1920.1,0,0,0,734,0,0,0,0,0
209,2023-07-20_18:02:16,24.5,54.9,30.2,31.7,31.7,951,0,0,0,0,1740.5,0,0,0,744,0,0,0,0,0
210,2023-07-20_18:03:17,24.5,53.4,29.5,30.9,30.9,952,0,0,0,0,1301.4,0,0,0,744,0,0,0,0,0
211,2023-07-20_18:04:17,24.5,52.6,29.5,30.9,30.9,949,0,0,0,0,1050.2,0,0,0,745,0,0,0,0,0
212,2023-07-20_18:05:17,24.4,53,29.6,31,31,942,0,0,0,0,1093.1,0,0,0,745,0,0,0,0,0
213,2023-07-20_18:06:17,24.3,53.5,27.7,29,29,940,0,0,0,0,1224,0,0,0,748,0,0,0,0,0
214,2023-07-20_18:07:17,24.2,54.2,28.6,30,30,938,0,0,0,0,1147.7,0,0,0,760,0,0,0,0,0
215,2023-07-20_18:08:18,24.1,55,30.6,32.1,32.1,932,0,0,0,0,1051.7,0,0,0,753,0,0,0,0,0
216,2023-07-20_18:09:18,24.1,55.4,28.5,29.9,29.9,927,0,0,0,0,1030.3,0,0,0,754,0,0,0,0,0
217,2023-07-20_18:10:18,24.1,55.8,30.8,32.3,32.3,929,0,0,0,0,1158.8,0,0,0,757,0,0,0,0,0
218,2023-07-20_18:11:18,24.2,56.3,29.9,31.4,31.4,929,0,0,0,0,1336.6,0,0,0,754,0,0,0,0,0
219,2023-07-20_18:12:18,24.1,56.7,29.3,30.8,30.8,926,0,0,0,0,1558.5,0,0,0,758,0,0,0,0,0
220,2023-07-20_18:13:19,24.2,56.9,28.3,29.7,29.7,922,0,0,0,0,1679.9,0,0,0,759,0,0,0,0,0
221,2023-07-20_18:14:19,24.2,57.2,28.5,29.9,29.9,922,0,0,0,0,1817.8,0,0,0,771,0,0,0,0,0
222,2023-07-20_18:15:19,24.2,57.6,29,30.4,30.4,916,0,0,0,0,2027.5,0,0,0,772,0,0,0,0,0
223,2023-07-20_18:16:19,24.2,58,30,31.5,31.5,905,0,0,0,0,1895.4,0,0,0,783,0,0,0,0,0
224,2023-07-20_18:17:19,24.2,58.3,28.8,30.2,30.2,908,0,0,0,0,2081.4,0,0,0,772,0,0,0,0,0
225,2023-07-20_18:18:20,24.2,57.9,29.3,30.7,30.7,904,0,0,0,0,1843.4,0,0,0,779,0,0,0,0,0
226,2023-07-20_18:19:20,24.3,56.9,29.4,30.8,30.8,904,0,0,0,0,1792,0,0,0,779,0,0,0,0,0
227,2023-07-20_18:20:20,24.3,55.4,27.7,29.1,29.1,912,0,0,0,0,1754,0,0,0,784,0,0,0,0,0
228,2023-07-20_18:21:20,24.3,53.7,28.2,29.6,29.6,916,0,0,0,0,1279.4,0,0,0,784,0,0,0,0,0
229,2023-07-20_18:22:20,24.4,52.8,30,31.4,31.4,910,0,0,0,0,1103.9,0,0,0,784,0,0,0,0,0
230,2023-07-20_18:23:21,24.3,52.9,30,31.4,31.4,906,0,0,0,0,1029.6,0,0,0,800,0,0,0,0,0
231,2023-07-20_18:24:21,24.2,53.4,28.1,29.4,29.4,905,0,0,0,0,1019.4,0,0,0,790,0,0,0,0,0
232,2023-07-20_18:25:21,24.3,53.9,28.5,29.9,29.9,905,0,0,0,0,1180.1,0,0,0,786,0,0,0,0,0
233,2023-07-20_18:26:21,24.2,54.5,28.8,30.2,30.2,898,0,0,0,0,1235.3,0,0,0,794,0,0,0,0,0
234,2023-07-20_18:27:21,24.1,55.1,28.3,29.7,29.7,895,0,0,0,0,1246.8,0,0,0,793,0,0,0,0,0
235,2023-07-20_18:28:22,24.2,55.4,28.5,29.9,29.9,891,0,0,0,0,1268.9,0,0,0,799,0,0,0,0,0
236,2023-07-20_18:29:22,24.2,55.7,29.7,31.1,31.1,890,0,0,0,0,1393.5,0,0,0,802,0,0,0,0,0
237,2023-07-20_18:30:22,24.2,56.2,29.6,31,31,884,0,0,0,0,1510.3,0,0,0,808,0,0,0,0,0
238,2023-07-20_18:31:22,24.2,56.5,29.1,30.5,30.5,888,0,0,0,0,1655.1,0,0,0,799,0,0,0,0,0
239,2023-07-20_18:32:22,24.2,56.9,28,29.4,29.4,891,0,0,0,0,1843.4,0,0,0,813,0,0,0,0,0
240,2023-07-20_18:33:23,24.3,57.1,28.7,30.1,30.1,883,0,0,0,0,1987.1,0,0,0,802,0,0,0,0,0
241,2023-07-20_18:34:23,24.2,57.6,29.4,30.9,30.9,881,0,0,0,0,1767,0,0,0,806,0,0,0,0,0
242,2023-07-20_18:35:23,24.3,57.8,27.3,28.6,28.6,878,0,0,0,0,1934.1,0,0,0,808,0,0,0,0,0
243,2023-07-20_18:36:23,24.3,58.2,28.8,30.2,30.2,871,0,0,0,0,2013.8,0,0,0,814,0,0,0,0,0
244,2023-07-20_18:37:23,24.3,57.8,28.7,30.1,30.1,869,0,0,0,0,1830.4,0,0,0,810,0,0,0,0,0
245,2023-07-20_18:38:24,24.3,56.5,28.1,29.4,29.4,870,0,0,0,0,1804.8,0,0,0,813,0,0,0,0,0
246,2023-07-20_18:39:24,24.3,55.2,28.9,30.3,30.3,876,0,0,0,0,1393.1,0,0,0,823,0,0,0,0,0
247,2023-07-20_18:40:24,24.3,53.5,28.3,29.7,29.7,874,0,0,0,0,1201.9,0,0,0,820,0,0,0,0,0
248,2023-07-20_18:41:24,24.3,52.6,27.5,28.8,28.8,872,0,0,0,0,966.9,0,0,0,819,0,0,0,0,0
249,2023-07-20_18:42:24,24.3,52.6,28.7,30.1,30.1,873,0,0,0,0,844.1,0,0,0,823,0,0,0,0,0
250,2023-07-20_18:43:25,24.3,53,28.9,30.3,30.3,876,0,0,0,0,1040.4,0,0,0,819,0,0,0,0,0
251,2023-07-20_18:44:25,24,54,28.1,29.4,29.4,870,0,0,0,0,814.8,0,0,0,822,0,0,0,0,0
252,2023-07-20_18:45:25,24,54.7,29.8,31.2,31.2,862,0,0,0,0,745.5,0,0,0,826,0,0,0,0,0
253,2023-07-20_18:46:25,24,55.2,27.8,29.2,29.2,860,0,0,0,0,926.5,0,0,0,836,0,0,0,0,0
254,2023-07-20_18:47:25,24,55.7,26.9,28.2,28.2,855,0,0,0,0,1062.6,0,0,0,839,0,0,0,0,0
255,2023-07-20_18:48:26,24,56.2,29,30.4,30.4,849,0,0,0,0,1225.3,0,0,0,827,0,0,0,0,0
256,2023-07-20_18:49:26,24,56.6,28.2,29.6,29.6,847,0,0,0,0,1281,0,0,0,837,0,0,0,0,0
257,2023-07-20_18:50:26,24,56.9,28.8,30.2,30.2,849,0,0,0,0,1371.6,0,0,0,843,0,0,0,0,0
258,2023-07-20_18:51:26,24,57.2,28.3,29.7,29.7,848,0,0,0,0,1511.4,0,0,0,842,0,0,0,0,0
259,2023-07-20_18:52:27,24,57.5,27.2,28.5,28.5,843,0,0,0,0,1487.6,0,0,0,847,0,0,0,0,0
260,2023-07-20_18:53:27,24,58,28.5,29.9,29.9,840,0,0,0,0,1452.6,0,0,0,855,0,0,0,0,0
261,2023-07-20_18:54:27,24,58.2,29,30.5,30.5,842,0,0,0,0,1535.1,0,0,0,850,0,0,0,0,0
262,2023-07-20_18:55:27,24.1,58.5,27.7,29.1,29.1,841,0,0,0,0,1570.9,0,0,0,845,0,0,0,0,0
263,2023-07-20_18:56:27,24.1,58.9,28.1,29.5,29.5,842,0,0,0,0,1570.9,0,0,0,849,0,0,0,0,0
264,2023-07-20_18:57:28,24.1,58.9,26.7,28,28,841,0,0,0,0,1522.8,0,0,0,856,0,0,0,0,0
265,2023-07-20_18:58:28,24.1,58.5,27.9,29.2,29.2,843,0,0,0,0,1534.8,0,0,0,851,0,0,0,0,0
266,2023-07-20_18:59:28,24.2,57.2,28.7,30,30,841,0,0,0,0,1463.6,0,0,0,860,0,0,0,0,0
267,2023-07-20_19:00:28,24.2,55.8,28.4,29.7,29.7,835,0,0,0,0,1235.4,0,0,0,868,0,0,0,0,0
268,2023-07-20_19:01:28,24.2,54.1,28.8,30.2,30.2,836,0,0,0,0,1040.5,0,0,0,862,0,0,0,0,0
269,2023-07-20_19:02:29,24.2,53,27.4,28.8,28.8,832,0,0,0,0,854.5,0,0,0,881,0,0,0,0,0
270,2023-07-20_19:03:29,24.3,52.8,27.8,29.1,29.1,837,0,0,0,0,854.4,0,0,0,864,0,0,0,0,0
271,2023-07-20_19:04:29,24.2,53.2,28,29.4,29.4,840,0,0,0,0,784.5,0,0,0,863,0,0,0,0,0
272,2023-07-20_19:05:29,24.1,54.1,26.8,28.1,28.1,837,0,0,0,0,926.3,0,0,0,866,0,0,0,0,0
273,2023-07-20_19:06:29,23.9,54.8,26.8,28.1,28.1,836,0,0,0,0,845.2,0,0,0,866,0,0,0,0,0
274,2023-07-20_19:07:30,24,55.2,27.5,28.8,28.8,827,0,0,0,0,916.4,0,0,0,878,0,0,0,0,0
275,2023-07-20_19:08:30,23.9,55.7,26.9,28.2,28.2,829,0,0,0,0,988.9,0,0,0,872,0,0,0,0,0
276,2023-07-20_19:09:30,24,56.1,28.4,29.8,29.8,827,0,0,0,0,988.9,0,0,0,883,0,0,0,0,0
277,2023-07-20_19:10:30,23.9,56.6,27.4,28.7,28.7,828,0,0,0,0,1236.5,0,0,0,879,0,0,0,0,0
278,2023-07-20_19:11:30,24,56.9,28.9,30.3,30.3,820,0,0,0,0,1394.7,0,0,0,880,0,0,0,0,0
279,2023-07-20_19:12:31,24,57.3,27.6,29,29,824,0,0,0,0,1452.6,0,0,0,879,0,0,0,0,0
280,2023-07-20_19:13:31,24,57.6,28.5,29.9,29.9,820,0,0,0,0,1383.2,0,0,0,883,0,0,0,0,0
281,2023-07-20_19:14:31,24,57.7,27.9,29.2,29.2,815,0,0,0,0,1325.9,0,0,0,882,0,0,0,0,0
282,2023-07-20_19:15:31,24,58.3,26.2,27.5,27.5,812,0,0,0,0,1337.4,0,0,0,885,0,0,0,0,0
283,2023-07-20_19:16:31,24,58.5,28.7,30.1,30.1,810,0,0,0,0,1326,0,0,0,892,0,0,0,0,0
284,2023-07-20_19:17:32,24,59,26.8,28.1,28.1,807,0,0,0,0,1337.5,0,0,0,884,0,0,0,0,0
285,2023-07-20_19:18:32,23.9,59.3,27.2,28.5,28.5,813,0,0,0,0,1314.9,0,0,0,893,0,0,0,0,0
286,2023-07-20_19:19:32,23.9,59.5,28.2,29.6,29.6,813,0,0,0,0,1314.9,0,0,0,896,0,0,0,0,0
287,2023-07-20_19:20:32,23.9,59.4,28,29.4,29.4,812,0,0,0,0,1292.6,0,0,0,892,0,0,0,0,0
288,2023-07-20_19:21:32,24,58.4,26.2,27.5,27.5,807,0,0,0,0,999.3,0,0,0,896,0,0,0,0,0
289,2023-07-20_19:22:33,24,56.7,26.2,27.5,27.5,809,0,0,0,0,967.8,0,0,0,898,0,0,0,0,0
290,2023-07-20_19:23:33,24.1,55.3,27.9,29.2,29.2,808,0,0,0,0,905.8,0,0,0,909,0,0,0,0,0
291,2023-07-20_19:24:33,24.1,53.3,25.3,26.5,26.5,812,0,0,0,0,657.5,0,0,0,904,0,0,0,0,0
292,2023-07-20_19:25:33,24.1,53.1,27.1,28.4,28.4,811,0,0,0,0,638.2,0,0,0,906,0,0,0,0,0
293,2023-07-20_19:26:33,24,53.8,25.4,26.7,26.7,807,0,0,0,0,755.1,0,0,0,901,0,0,0,0,0
294,2023-07-20_19:27:34,24,54.3,26.8,28.1,28.1,807,0,0,0,0,835.1,0,0,0,909,0,0,0,0,0
295,2023-07-20_19:28:34,23.9,55,28,29.4,29.4,807,0,0,0,0,825.1,0,0,0,907,0,0,0,0,0
296,2023-07-20_19:29:34,23.9,55.5,26.6,27.9,27.9,806,0,0,0,0,795.2,0,0,0,910,0,0,0,0,0
297,2023-07-20_19:30:34,23.9,56.1,27.2,28.5,28.5,799,0,0,0,0,825.3,0,0,0,923,0,0,0,0,0
298,2023-07-20_19:31:34,23.8,56.5,26.5,27.7,27.7,797,0,0,0,0,855.6,0,0,0,910,0,0,0,0,0
299,2023-07-20_19:32:35,23.9,56.8,27.2,28.6,28.6,795,0,0,0,0,947.6,0,0,0,927,0,0,0,0,0
300,2023-07-20_19:33:35,23.8,57.3,26.5,27.8,27.8,793,0,0,0,0,978.8,0,0,0,911,0,0,0,0,0
301,2023-07-20_19:34:35,23.8,57.7,26.7,28,28,792,0,0,0,0,968.4,0,0,0,918,0,0,0,0,0
302,2023-07-20_19:35:35,23.9,58,27.2,28.5,28.5,788,0,0,0,0,968.3,0,0,0,916,0,0,0,0,0
303,2023-07-20_19:36:35,23.8,58.3,26,27.3,27.3,792,0,0,0,0,1116.6,0,0,0,919,0,0,0,0,0
304,2023-07-20_19:37:36,23.9,58.6,26.7,28,28,783,0,0,0,0,1159.8,0,0,0,922,0,0,0,0,0
305,2023-07-20_19:38:36,23.9,58.7,26.1,27.4,27.4,788,0,0,0,0,1349,0,0,0,922,0,0,0,0,0
306,2023-07-20_19:39:36,24,58.8,26.1,27.4,27.4,790,0,0,0,0,1452.7,0,0,0,930,0,0,0,0,0
307,2023-07-20_19:40:36,24,59.1,26.2,27.5,27.5,788,0,0,0,0,1547.4,0,0,0,931,0,0,0,0,0
308,2023-07-20_19:41:36,24,59.3,26.7,28,28,785,0,0,0,0,1487.9,0,0,0,926,0,0,0,0,0
309,2023-07-20_19:42:37,24,58.9,27.3,28.6,28.6,788,0,0,0,0,1406.3,0,0,0,932,0,0,0,0,0
310,2023-07-20_19:43:37,24.1,57.7,26.8,28.1,28.1,785,0,0,0,0,1224.9,0,0,0,933,0,0,0,0,0
