NO,DATE,TEMP,HUM,PM 1.0,PM 2.5,PM 10,CO2,HCHO,CO,NO2,RN,VOCs,O3,SO2,H2S,O2,NH3,AB,BattV,Heater,Blackout
369,2023-07-20_20:42:49,23.7,58.3,26.3,27.6,27.6,739,0,0,0,0,917.1,0,0,0,1026,0,0,0,0,0
370,2023-07-20_20:43:49,23.7,58.7,25.4,26.6,26.6,736,0,0,0,0,845.9,0,0,0,1024,0,0,0,0,0
371,2023-07-20_20:44:49,23.7,59,24.5,25.7,25.7,739,0,0,0,0,815.6,0,0,0,1024,0,0,0,0,0
372,2023-07-20_20:45:50,23.8,59.1,25.1,26.3,26.3,736,0,0,0,0,876.1,0,0,0,1031,0,0,0,0,0
373,2023-07-20_20:46:50,23.7,59.5,25.7,26.9,26.9,730,0,0,0,0,917.2,0,0,0,1039,0,0,0,0,0
374,2023-07-20_20:47:50,23.7,59.9,24,25.2,25.2,726,0,0,0,0,845.9,0,0,0,1033,0,0,0,0,0
375,2023-07-20_20:48:50,23.6,60.1,25.8,27,27,733,0,0,0,0,805.8,0,0,0,1050,0,0,0,0,0
376,2023-07-20_20:49:50,23.6,60.6,24.2,25.4,25.4,733,0,0,0,0,726.7,0,0,0,1035,0,0,0,0,0
377,2023-07-20_20:50:51,23.7,60.6,25.2,26.4,26.4,732,0,0,0,0,736.3,0,0,0,1038,0,0,0,0,0
378,2023-07-20_20:51:51,23.5,61.3,24.8,26,26,733,0,0,0,0,601.3,0,0,0,1038,0,0,0,0,0
379,2023-07-20_20:52:51,23.5,61.4,23.5,24.7,24.7,737,0,0,0,0,591.7,0,0,0,1035,0,0,0,0,0
380,2023-07-20_20:53:51,23.5,60.7,24.2,25.4,25.4,737,0,0,0,0,433.4,0,0,0,1038,0,0,0,0,0
381,2023-07-20_20:54:51,23.6,59.2,25,26.2,26.2,736,0,0,0,0,469.9,0,0,0,1046,0,0,0,0,0
382,2023-07-20_20:55:52,23.7,57.5,25,26.2,26.2,731,0,0,0,0,544.2,0,0,0,1051,0,0,0,0,0
383,2023-07-20_20:56:52,23.7,56.1,25.1,26.4,26.4,732,0,0,0,0,479,0,0,0,1043,0,0,0,0,0
384,2023-07-20_20:57:52,23.8,55.4,23.7,24.9,24.9,734,0,0,0,0,506.7,0,0,0,1046,0,0,0,0,0
385,2023-07-20_20:58:52,23.8,54.9,23.4,24.8,25,739,0,0,0,0,506.7,0,0,0,1052,0,0,0,0,0
386,2023-07-20_20:59:52,23.7,55.7,23.1,24.3,24.3,733,0,0,0,0,469.8,0,0,0,1047,0,0,0,0,0
387,2023-07-20_21:00:53,23.7,56.1,24.8,26,26,733,0,0,0,0,479,0,0,0,1055,0,0,0,0,0
388,2023-07-20_21:01:53,23.6,56.6,25.9,27.1,27.1,726,0,0,0,0,497.6,0,0,0,1049,0,0,0,0,0
389,2023-07-20_21:02:53,23.7,56.9,24.2,25.3,25.3,726,0,0,0,0,516.1,0,0,0,1061,0,0,0,0,0
390,2023-07-20_21:03:53,23.7,57.3,25.1,26.3,26.3,723,0,0,0,0,544.2,0,0,0,1054,0,0,0,0,0
391,2023-07-20_21:04:53,23.6,57.7,24.5,25.7,25.7,725,0,0,0,0,668.1,0,0,0,1054,0,0,0,0,0
392,2023-07-20_21:05:54,23.6,58.2,25.7,26.9,26.9,722,0,0,0,0,658.6,0,0,0,1058,0,0,0,0,0
393,2023-07-20_21:06:54,23.7,58.2,25.1,26.3,26.3,723,0,0,0,0,620,0,0,0,1053,0,0,0,0,0
