,time (hr),Back_manual_Normalization (ug),Back_manual_Normalization (ug)
,,mean,std
0,0.016666666666666666,0.02253389715184722,0.024537779698000424
1,0.03333333333333333,0.05442859268389526,0.051321546957188255
2,0.05,0.07994549724431821,0.03601715136091954
3,0.06666666666666667,0.09314559964481463,0.043604770929217745
4,0.08333333333333333,0.17199396857616012,0.012479702212999237
5,0.1,0.21756170006339956,0.07629023793550392
6,0.11666666666666667,0.26119294179450236,0.056342931094064276
7,0.13333333333333333,0.25061062620455876,0.055073735091735354
8,0.16666666666666666,0.29176336688171295,0.09667771871896191
9,0.2,0.29149077535644163,0.08482861693363734
