,time (hr),Back_auto_Normalization_except0731 (ug),Back_auto_Normalization_except0731 (ug)
,,mean,std
0,0.016666666666666666,0.09746472796953676,0.02756691743219176
1,0.03333333333333333,0.11838434555454397,0.047914071683169676
2,0.05,0.514147210529011,0.3120377527036845
3,0.06666666666666667,0.6170825669318024,0.22136348169022035
4,0.08333333333333333,1.1810301266699392,0.9980051954686264
5,0.1,1.66064591364172,0.4891461704235008
6,0.11666666666666667,0.8431784438048724,0.5683935832688559
7,0.13333333333333333,1.4600676753087332,0.9305548206639475
8,0.16666666666666666,1.8351933998940317,0.275476841922899
9,0.2,1.1033837652520069,0.3918368130892329
